Modelo,Ano Fabricacao,Idade Veiculo,Km,Reclamacoes,Recall
Fiat Uno,2019,7.0,67043.0,2.0,Não
Jeep Renegade,2017,9.0,57137.0,8.0,Não
Jeep Grand Cherokee,2014,12.0,217927.0,11.0,Sim
Fiat Grand Siena,2015,11.0,166906.0,5.0,Não
Fiat Palio,2014,12.0,157031.0,6.0,Não
RAM 2500,2016,10.0,82286.0,8.0,Não
Fiat Uno,2012,14.0,182523.0,7.0,Sim
Jeep Grand Cherokee,2016,10.0,126817.0,8.0,Não
RAM 2500,2024,2.0,26419.0,1.0,Sim
Fiat Uno,2017,9.0,63253.0,4.0,Sim
Jeep Renegade,2016,10.0,,9.0,Sim
Fiat Toro,2023,3.0,,2.0,Não
Jeep Grand Cherokee,2017,9.0,108605.0,8.0,Sim
Jeep Compass,2023,3.0,48568.0,3.0,Não
Jeep Grand Cherokee,2015,11.0,129579.0,6.0,Não
Fiat Uno,2017,9.0,98499.0,9.0,Não
Jeep Renegade,2017,9.0,119336.0,6.0,Sim
Jeep Renegade,2016,10.0,154969.0,9.0,Sim
RAM 2500,2021,5.0,45530.0,3.0,Não
Jeep Compass,2017,9.0,65517.0,5.0,Não
Jeep Grand Cherokee,2025,1.0,13078.0,1.0,Não
Fiat Strada,2026,0.0,2620.0,2.0,Não
Fiat Grand Siena,2014,12.0,136862.0,9.0,Não
Jeep Grand Cherokee,2018,8.0,80210.0,5.0,Sim
Fiat Toro,2016,10.0,136670.0,5.0,Não
Fiat Strada,2016,10.0,118972.0,11.0,Sim
Fiat Palio,2013,13.0,192417.0,16.0,Não
Jeep Renegade,2023,3.0,,4.0,Não
Fiat Strada,2025,1.0,9685.0,1.0,Não
Jeep Compass,2019,7.0,79197.0,2.0,Não
Fiat Strada,2018,8.0,79248.0,4.0,Não
Jeep Compass,2016,10.0,123034.0,8.0,Não
Fiat Strada,2023,3.0,50140.0,2.0,Não
Jeep Renegade,2017,9.0,70003.0,11.0,Não
Fiat Grand Siena,2013,13.0,144998.0,11.0,Sim
Fiat Toro,2018,8.0,143544.0,10.0,Não
Jeep Renegade,2020,6.0,57752.0,9.0,Não
Jeep Compass,2020,6.0,77481.0,9.0,Não
Fiat Uno,2017,9.0,126293.0,9.0,Sim
Fiat Toro,2024,2.0,28248.0,0.0,Não
Jeep Renegade,2015,11.0,98471.0,6.0,Sim
Jeep Renegade,2015,11.0,135070.0,8.0,Sim
Jeep Renegade,2019,7.0,96948.0,6.0,Não
Fiat Toro,2023,3.0,21539.0,3.0,Não
Jeep Compass,2017,9.0,125495.0,7.0,Não
RAM 2500,2018,8.0,123880.0,5.0,Sim
Fiat Toro,2023,3.0,36207.0,2.0,Não
Fiat Palio,2013,13.0,122681.0,7.0,Não
Fiat Strada,2025,1.0,10185.0,1.0,Não
Jeep Compass,2016,10.0,108205.0,6.0,Não
Jeep Compass,2016,10.0,139138.0,11.0,Não
Fiat Toro,2024,2.0,22045.0,1.0,Não
Fiat Uno,2014,12.0,135999.0,10.0,Não
Jeep Compass,2017,9.0,117091.0,9.0,Não
Fiat Grand Siena,2012,14.0,176557.0,9.0,Sim
Fiat Grand Siena,2016,10.0,101702.0,11.0,Sim
Jeep Grand Cherokee,2019,7.0,88846.0,9.0,Não
Jeep Renegade,2019,7.0,51318.0,8.0,Sim
Jeep Compass,2020,6.0,87495.0,3.0,Não
Jeep Grand Cherokee,2015,11.0,101859.0,5.0,Não
Jeep Renegade,2020,6.0,61403.0,6.0,Não
RAM 2500,2016,10.0,98303.0,9.0,Não
Fiat Palio,2015,11.0,131167.0,3.0,Não
Fiat Uno,2018,8.0,119424.0,2.0,Não
Jeep Renegade,2024,2.0,21161.0,0.0,Não
Fiat Toro,2016,10.0,111985.0,11.0,Não
Fiat Uno,2016,10.0,115787.0,6.0,Sim
Jeep Grand Cherokee,2019,7.0,77165.0,5.0,Não
Jeep Grand Cherokee,2018,8.0,77019.0,5.0,Não
RAM 2500,2021,5.0,61563.0,4.0,Não
Jeep Compass,2016,10.0,137852.0,6.0,Sim
Jeep Compass,2024,2.0,19550.0,1.0,Não
Fiat Palio,2011,15.0,152604.0,,Sim
Jeep Compass,2023,3.0,42517.0,1.0,Não
Jeep Grand Cherokee,2014,12.0,143562.0,11.0,Não
RAM 2500,2018,8.0,111207.0,4.0,Não
,2018,8.0,142227.0,6.0,Sim
Fiat Toro,2024,2.0,22797.0,3.0,Não
Jeep Grand Cherokee,2020,6.0,75668.0,18.0,Sim
Fiat Strada,2025,1.0,9760.0,3.0,Não
,2020,6.0,55192.0,4.0,Sim
Jeep Compass,2020,6.0,68290.0,2.0,Não
Fiat Palio,2012,14.0,142055.0,6.0,Sim
Fiat Palio,2013,13.0,147054.0,5.0,Não
Fiat Palio,2011,15.0,213230.0,11.0,Não
Fiat Toro,2022,4.0,52211.0,4.0,Não
Fiat Toro,2024,2.0,,2.0,Não
Fiat Strada,2022,4.0,54609.0,5.0,Não
Jeep Compass,2018,8.0,79959.0,8.0,Não
Jeep Renegade,2020,6.0,75890.0,6.0,Sim
Jeep Renegade,2021,5.0,86234.0,2.0,Não
Fiat Palio,2016,10.0,111335.0,4.0,Não
Fiat Strada,2021,5.0,53415.0,3.0,Não
Fiat Uno,2012,14.0,141004.0,12.0,Sim
Fiat Grand Siena,2014,12.0,123877.0,7.0,Sim
Jeep Renegade,2015,11.0,174976.0,6.0,Sim
Jeep Renegade,2024,2.0,,6.0,Não
Fiat Strada,2015,11.0,,6.0,Não
Fiat Strada,2020,6.0,73236.0,5.0,Não
Fiat Uno,2013,13.0,138040.0,13.0,Sim
Jeep Compass,2017,9.0,111326.0,8.0,Sim
Jeep Compass,2023,3.0,40345.0,7.0,Não
Jeep Grand Cherokee,2017,9.0,,6.0,Sim
Jeep Renegade,2016,10.0,122543.0,6.0,Sim
Fiat Strada,2017,9.0,115130.0,8.0,Sim
RAM 2500,2015,11.0,150790.0,6.0,Não
Jeep Renegade,2022,4.0,37638.0,5.0,Não
Jeep Compass,2021,5.0,64022.0,7.0,Não
Fiat Strada,2016,10.0,104044.0,4.0,Não
Fiat Strada,2025,1.0,10399.0,0.0,Não
Jeep Renegade,2019,7.0,88149.0,7.0,Sim
,2019,7.0,54636.0,6.0,Não
Fiat Uno,2014,12.0,116328.0,8.0,Não
Fiat Uno,2019,7.0,85909.0,7.0,Não
Fiat Uno,2013,13.0,152921.0,14.0,Não
Fiat Uno,2011,15.0,128169.0,20.0,Sim
RAM 2500,2025,1.0,11871.0,2.0,Não
Fiat Toro,2017,9.0,52183.0,9.0,Não
RAM 2500,2019,7.0,116008.0,6.0,Não
Jeep Compass,2025,1.0,8717.0,1.0,Não
Fiat Grand Siena,2012,14.0,147658.0,12.0,Sim
Jeep Renegade,2022,4.0,43582.0,5.0,Não
Fiat Grand Siena,2017,9.0,119736.0,7.0,Sim
Jeep Renegade,2023,3.0,30302.0,5.0,Não
Jeep Compass,2021,5.0,67252.0,2.0,Não
Fiat Toro,2021,5.0,70747.0,4.0,Não
Jeep Compass,2022,4.0,35993.0,3.0,Não
RAM 2500,2019,7.0,101804.0,6.0,Não
RAM 2500,2016,10.0,111383.0,6.0,Sim
Fiat Toro,2026,0.0,236.0,0.0,Não
RAM 2500,2017,9.0,107420.0,11.0,Sim
Fiat Toro,2019,7.0,84171.0,4.0,Não
Jeep Renegade,2015,11.0,150319.0,7.0,Sim
Fiat Uno,2012,14.0,197316.0,13.0,Não
Fiat Grand Siena,2012,14.0,175498.0,11.0,Sim
Jeep Renegade,2017,9.0,103658.0,6.0,Não
Jeep Compass,2020,6.0,75034.0,4.0,Não
RAM 2500,2021,5.0,84388.0,5.0,Sim
Fiat Toro,2025,1.0,14592.0,1.0,Não
RAM 2500,2021,5.0,64289.0,11.0,Sim
Jeep Grand Cherokee,2022,4.0,50615.0,6.0,Não
Jeep Renegade,2023,3.0,40054.0,3.0,Não
Jeep Compass,2024,2.0,24004.0,3.0,Não
RAM 2500,2016,10.0,103763.0,11.0,Sim
Jeep Grand Cherokee,2018,8.0,94530.0,9.0,Não
Fiat Toro,2018,8.0,81403.0,4.0,Não
RAM 2500,2019,7.0,57196.0,3.0,Não
Fiat Grand Siena,2014,12.0,125884.0,6.0,Sim
Fiat Uno,2019,7.0,77485.0,6.0,Não
Fiat Grand Siena,2015,11.0,148519.0,4.0,Não
Jeep Renegade,2024,2.0,18972.0,2.0,Não
Fiat Grand Siena,2014,12.0,138028.0,12.0,Não
Fiat Grand Siena,2012,14.0,163640.0,11.0,Não
Fiat Toro,2016,10.0,104066.0,13.0,Não
RAM 2500,2020,6.0,94127.0,4.0,Não
Fiat Palio,2016,,100931.0,12.0,Sim
Fiat Strada,2020,6.0,54913.0,3.0,Não
RAM 2500,2014,12.0,182134.0,10.0,Não
Jeep Renegade,2017,9.0,94001.0,12.0,Sim
Fiat Grand Siena,2014,12.0,127706.0,12.0,Não
Jeep Renegade,2024,2.0,,1.0,Não
Fiat Palio,2015,11.0,129233.0,11.0,Não
RAM 2500,2014,12.0,116933.0,11.0,Não
Fiat Uno,2016,10.0,163259.0,15.0,Sim
Jeep Compass,2023,3.0,39359.0,3.0,Não
Jeep Renegade,2022,4.0,49536.0,2.0,Não
Fiat Uno,2016,10.0,59167.0,6.0,Sim
Jeep Compass,2016,10.0,114268.0,9.0,Não
Fiat Toro,2020,6.0,69628.0,3.0,Não
Fiat Toro,2024,2.0,33424.0,2.0,Sim
Fiat Uno,2011,15.0,178313.0,6.0,Não
Fiat Strada,2016,10.0,118009.0,8.0,Sim
Fiat Palio,2013,13.0,,12.0,Não
Fiat Uno,2013,13.0,170470.0,11.0,Não
Jeep Compass,2017,9.0,68670.0,4.0,Não
Jeep Compass,2020,6.0,93681.0,7.0,Sim
Jeep Renegade,2021,5.0,44556.0,5.0,Não
Fiat Toro,2026,0.0,0.0,1.0,Não
RAM 2500,2022,4.0,35880.0,3.0,Não
Jeep Renegade,2020,6.0,75106.0,5.0,Não
Fiat Strada,2019,7.0,77977.0,5.0,Não
Fiat Grand Siena,2016,10.0,135948.0,8.0,Não
Fiat Palio,2016,10.0,108984.0,15.0,Sim
Jeep Compass,2018,8.0,76315.0,6.0,Sim
Fiat Palio,2013,13.0,195659.0,7.0,Não
Jeep Compass,2024,2.0,30205.0,3.0,Não
Fiat Toro,2020,6.0,,4.0,Não
,2019,7.0,91012.0,6.0,Não
Jeep Renegade,2017,9.0,104568.0,5.0,Sim
Jeep Grand Cherokee,2018,8.0,108153.0,,Não
Fiat Uno,2014,12.0,174754.0,12.0,Não
Fiat Strada,2017,9.0,131179.0,2.0,Não
Fiat Strada,2018,8.0,,2.0,Não
Fiat Uno,2013,13.0,111289.0,12.0,Não
Fiat Grand Siena,2013,13.0,150952.0,8.0,Não
Jeep Renegade,2020,6.0,93281.0,6.0,Não
Fiat Strada,2019,7.0,48519.0,2.0,Não
Jeep Grand Cherokee,2019,7.0,103104.0,11.0,Sim
Fiat Toro,2018,8.0,80583.0,6.0,Sim
Jeep Renegade,2024,2.0,24169.0,2.0,Não
Fiat Palio,2014,12.0,218095.0,12.0,Não
Fiat Strada,2025,1.0,12927.0,2.0,Não
Fiat Grand Siena,2016,10.0,147198.0,5.0,Sim
Fiat Strada,2024,2.0,23862.0,1.0,Não
Fiat Grand Siena,2014,12.0,125842.0,10.0,Não
Fiat Toro,2023,3.0,29303.0,3.0,Não
Jeep Compass,2018,8.0,80235.0,3.0,Não
Jeep Compass,2016,10.0,138558.0,12.0,Não
Fiat Uno,2020,6.0,88580.0,7.0,Não
RAM 2500,2014,12.0,147787.0,12.0,Sim
Fiat Uno,2020,6.0,54809.0,4.0,Sim
Fiat Strada,2025,1.0,6636.0,0.0,Não
Jeep Grand Cherokee,2016,10.0,126758.0,,Sim
Fiat Toro,2026,0.0,0.0,0.0,Não
Jeep Grand Cherokee,2020,6.0,74422.0,7.0,Não
Jeep Renegade,2017,9.0,83852.0,4.0,Sim
Jeep Compass,2020,6.0,78404.0,5.0,Sim
Fiat Grand Siena,2015,11.0,133684.0,10.0,Não
Fiat Strada,2015,11.0,185992.0,7.0,Sim
Jeep Compass,2020,6.0,56719.0,5.0,Não
RAM 2500,2018,8.0,97839.0,10.0,Não
Jeep Renegade,2023,3.0,32484.0,2.0,Não
Fiat Strada,2024,2.0,29091.0,2.0,Não
Jeep Renegade,2019,7.0,102620.0,6.0,Sim
Jeep Grand Cherokee,2014,12.0,99716.0,6.0,Não
Fiat Toro,2017,9.0,104852.0,3.0,Não
Jeep Compass,2022,4.0,38658.0,9.0,Não
Jeep Renegade,2019,7.0,70839.0,,Não
Jeep Renegade,2018,8.0,88086.0,12.0,Não
Fiat Toro,2024,2.0,18726.0,1.0,Não
Jeep Renegade,2016,10.0,120612.0,12.0,Sim
Fiat Toro,2018,8.0,88848.0,10.0,Não
RAM 2500,2015,,140578.0,13.0,Sim
Fiat Palio,2015,11.0,103332.0,8.0,Não
Fiat Grand Siena,2012,14.0,181685.0,13.0,Não
Fiat Palio,2012,14.0,130824.0,7.0,Não
Fiat Grand Siena,2014,12.0,216938.0,9.0,Não
Jeep Compass,2022,4.0,38428.0,6.0,Não
Fiat Strada,2018,8.0,105639.0,7.0,Sim
Fiat Toro,2021,5.0,64120.0,5.0,Não
Fiat Palio,2013,13.0,,11.0,Sim
Fiat Palio,2011,15.0,220263.0,13.0,Não
Fiat Uno,2011,15.0,175473.0,,Não
Fiat Grand Siena,2016,10.0,169122.0,12.0,Sim
,2016,10.0,140296.0,7.0,Sim
Fiat Strada,2022,4.0,33604.0,5.0,Não
Fiat Grand Siena,2015,11.0,77908.0,6.0,Sim
,2020,6.0,62370.0,2.0,Não
Fiat Palio,2011,15.0,144868.0,8.0,Não
Fiat Grand Siena,2019,7.0,77919.0,3.0,Não
Fiat Strada,2021,5.0,44831.0,5.0,Não
Fiat Grand Siena,2016,10.0,161056.0,11.0,Sim
Fiat Palio,2013,13.0,207514.0,5.0,Sim
Jeep Grand Cherokee,2014,12.0,162249.0,8.0,Sim
RAM 2500,2017,9.0,102079.0,12.0,Sim
Fiat Toro,2018,8.0,91653.0,3.0,Não
Jeep Renegade,2023,3.0,,0.0,Não
Fiat Palio,2011,15.0,188518.0,14.0,Sim
Fiat Toro,2018,8.0,,7.0,Não
Fiat Toro,2022,4.0,46925.0,3.0,Não
Jeep Compass,2021,5.0,24133.0,4.0,Sim
Fiat Uno,2017,9.0,88015.0,11.0,Sim
Jeep Renegade,2024,2.0,22335.0,0.0,Não
Fiat Grand Siena,2018,8.0,,3.0,Sim
Fiat Strada,2018,8.0,118968.0,7.0,Não
Fiat Uno,2019,7.0,68724.0,7.0,Não
Jeep Grand Cherokee,2016,10.0,135071.0,6.0,Sim
RAM 2500,2014,12.0,164958.0,12.0,Não
Fiat Grand Siena,2018,8.0,97777.0,3.0,Não
Jeep Renegade,2020,6.0,68189.0,3.0,Não
Fiat Palio,2011,15.0,206078.0,7.0,Sim
Fiat Uno,2018,8.0,105584.0,4.0,Sim
Jeep Grand Cherokee,2018,,87904.0,10.0,Sim
Fiat Strada,2022,4.0,57362.0,2.0,Sim
Fiat Toro,2025,1.0,5478.0,0.0,Sim
Fiat Grand Siena,2016,10.0,93181.0,7.0,Não
Fiat Uno,2017,9.0,84321.0,7.0,Sim
Jeep Grand Cherokee,2024,2.0,28089.0,0.0,Não
Jeep Renegade,2019,7.0,85971.0,6.0,Não
Fiat Uno,2017,9.0,122108.0,7.0,Não
Fiat Strada,2020,6.0,67948.0,4.0,Não
Fiat Strada,2022,4.0,23565.0,3.0,Não
Jeep Renegade,2018,8.0,116563.0,8.0,Não
Jeep Grand Cherokee,2020,6.0,41922.0,7.0,Não
Jeep Grand Cherokee,2023,3.0,39973.0,6.0,Não
Jeep Renegade,2015,11.0,135200.0,8.0,Não
RAM 2500,2017,9.0,141486.0,12.0,Sim
Fiat Palio,2017,9.0,,5.0,Não
Fiat Toro,2020,6.0,66695.0,4.0,Sim
Jeep Grand Cherokee,2024,2.0,24835.0,1.0,Não
Fiat Toro,2025,1.0,10324.0,2.0,Não
Fiat Strada,2024,2.0,37102.0,2.0,Não
RAM 2500,2022,4.0,57268.0,2.0,Não
RAM 2500,2014,12.0,154829.0,11.0,Sim
Fiat Grand Siena,2017,9.0,123843.0,5.0,Não
Fiat Strada,2019,7.0,60849.0,3.0,Não
Fiat Grand Siena,2018,8.0,124180.0,2.0,Não
Fiat Palio,2014,12.0,136791.0,12.0,Não
Fiat Strada,2018,8.0,80790.0,6.0,Não
Fiat Grand Siena,2017,9.0,89291.0,9.0,Não
Fiat Strada,2022,4.0,50662.0,3.0,Não
RAM 2500,2025,1.0,9379.0,1.0,Sim
Fiat Strada,2024,2.0,17457.0,3.0,Não
Fiat Palio,2011,,131769.0,6.0,Sim
Jeep Compass,2023,3.0,32484.0,4.0,Não
Jeep Renegade,2016,10.0,99003.0,7.0,Sim
Fiat Uno,2019,7.0,71247.0,8.0,Não
Jeep Renegade,2023,3.0,35536.0,2.0,Não
Fiat Toro,2023,3.0,35950.0,5.0,Não
Jeep Compass,2016,10.0,133579.0,6.0,Não
Fiat Strada,2026,0.0,0.0,1.0,Não
Jeep Renegade,2023,3.0,21224.0,3.0,Não
Fiat Strada,2026,0.0,2742.0,0.0,Não
Fiat Grand Siena,2014,12.0,199834.0,9.0,Sim
Fiat Grand Siena,2015,11.0,93954.0,8.0,Não
Fiat Grand Siena,2015,11.0,149390.0,8.0,Sim
RAM 2500,2021,5.0,55953.0,6.0,Sim
Fiat Uno,2014,12.0,134269.0,12.0,Não
Jeep Compass,2018,8.0,88448.0,6.0,Sim
Fiat Strada,2020,6.0,69884.0,4.0,Não
Jeep Renegade,2021,5.0,49617.0,3.0,Não
Fiat Uno,2017,9.0,106709.0,8.0,Sim
Fiat Strada,2022,4.0,51339.0,4.0,Não
Fiat Uno,2018,8.0,100937.0,2.0,Não
Fiat Toro,2018,8.0,66711.0,8.0,Não
Fiat Strada,2023,3.0,42583.0,2.0,Não
Fiat Grand Siena,2019,7.0,80425.0,4.0,Não
,2017,9.0,102609.0,2.0,Não
Jeep Grand Cherokee,2020,6.0,86214.0,4.0,Sim
Fiat Palio,2015,11.0,167893.0,9.0,Não
Jeep Grand Cherokee,2020,6.0,72706.0,2.0,Não
Fiat Palio,2014,12.0,149796.0,8.0,Não
Fiat Grand Siena,2016,10.0,66899.0,5.0,Não
Jeep Renegade,2019,7.0,81093.0,6.0,Sim
Jeep Compass,2020,6.0,68595.0,3.0,Não
Fiat Palio,2013,13.0,141085.0,3.0,Sim
Fiat Strada,2022,4.0,55907.0,1.0,Não
RAM 2500,2020,6.0,69108.0,3.0,Não
Fiat Strada,2016,10.0,137829.0,9.0,Não
Fiat Uno,2015,11.0,141078.0,8.0,Não
Fiat Strada,2023,3.0,34849.0,1.0,Sim
Fiat Uno,2018,8.0,92697.0,3.0,Não
Fiat Uno,2013,13.0,68142.0,7.0,Sim
Jeep Compass,2022,4.0,48450.0,4.0,Não
Fiat Palio,2013,13.0,153515.0,8.0,Sim
Fiat Uno,2013,13.0,167055.0,7.0,Sim
Fiat Strada,2021,5.0,56681.0,4.0,Não
Fiat Toro,2020,6.0,67595.0,6.0,Não
Fiat Toro,2023,3.0,38491.0,3.0,Não
Jeep Compass,2024,2.0,16702.0,0.0,Não
Jeep Compass,2016,10.0,142382.0,8.0,Não
Fiat Palio,2011,15.0,174836.0,9.0,Não
Fiat Palio,2015,11.0,136885.0,8.0,Não
Jeep Renegade,2016,10.0,120350.0,6.0,Sim
Jeep Compass,2023,3.0,42121.0,,Não
Jeep Compass,2024,2.0,37612.0,1.0,Não
Fiat Grand Siena,2018,8.0,,9.0,Sim
Jeep Renegade,2015,11.0,151158.0,5.0,Sim
Fiat Toro,2024,2.0,18989.0,3.0,Não
Fiat Palio,2016,10.0,109771.0,4.0,Sim
Jeep Grand Cherokee,2023,3.0,36183.0,2.0,Não
Jeep Renegade,2019,7.0,72078.0,3.0,Não
Fiat Toro,2026,0.0,0.0,0.0,Sim
Fiat Uno,2017,9.0,95408.0,,Não
Jeep Grand Cherokee,2020,6.0,71188.0,4.0,Não
Fiat Strada,2021,5.0,69952.0,3.0,Não
Fiat Toro,2024,2.0,13134.0,1.0,Sim
Jeep Compass,2019,7.0,71262.0,0.0,Sim
Jeep Compass,2019,7.0,73231.0,5.0,Sim
Fiat Toro,2016,10.0,157039.0,8.0,Sim
Fiat Strada,2022,4.0,43244.0,3.0,Não
Jeep Compass,2021,5.0,,2.0,Não
RAM 2500,2025,1.0,11389.0,1.0,Não
Fiat Toro,2022,4.0,53342.0,2.0,Não
Fiat Palio,2014,12.0,137360.0,13.0,Sim
RAM 2500,2017,9.0,111190.0,7.0,Sim
Jeep Compass,2020,6.0,74131.0,10.0,Não
Fiat Palio,2017,9.0,87641.0,10.0,Sim
Jeep Compass,2023,3.0,45154.0,3.0,Não
Jeep Renegade,2018,8.0,,2.0,Sim
Jeep Compass,2017,9.0,120346.0,9.0,Não
Fiat Toro,2019,7.0,63720.0,3.0,Não
Jeep Grand Cherokee,2025,1.0,13278.0,0.0,Não
Jeep Renegade,2024,2.0,27295.0,3.0,Não
Fiat Palio,2013,13.0,145392.0,12.0,Não
Jeep Renegade,2016,10.0,148114.0,9.0,Sim
Fiat Palio,2013,13.0,125616.0,7.0,Sim
Jeep Compass,2019,7.0,120113.0,10.0,Sim
Fiat Grand Siena,2016,10.0,,6.0,Não
Jeep Grand Cherokee,2020,6.0,66416.0,6.0,Sim
Fiat Uno,2019,7.0,81084.0,7.0,Não
Fiat Uno,2014,12.0,222402.0,9.0,Não
Fiat Uno,2011,15.0,170733.0,13.0,Não
Jeep Grand Cherokee,2020,6.0,90213.0,7.0,Sim
Fiat Uno,2015,11.0,161435.0,6.0,Não
Jeep Renegade,2020,6.0,56282.0,5.0,Não
Fiat Uno,2012,14.0,102330.0,9.0,Não
Fiat Toro,2017,9.0,108164.0,5.0,Não
Fiat Toro,2018,8.0,80405.0,5.0,Não
RAM 2500,2021,5.0,44383.0,4.0,Sim
Fiat Palio,2013,13.0,179743.0,9.0,Não
Fiat Grand Siena,2018,8.0,42294.0,3.0,Não
Jeep Renegade,2024,2.0,26772.0,3.0,Não
Jeep Renegade,2016,10.0,130452.0,10.0,Sim
Jeep Renegade,2019,7.0,87528.0,4.0,Não
Fiat Strada,2019,7.0,71514.0,5.0,Não
Fiat Uno,2017,9.0,115302.0,5.0,Sim
Fiat Toro,2024,2.0,25496.0,3.0,Não
Fiat Uno,2013,13.0,151732.0,11.0,Não
Fiat Toro,2018,8.0,104498.0,4.0,Não
Fiat Palio,2011,15.0,223132.0,17.0,Sim
Fiat Palio,2013,13.0,183636.0,4.0,Não
Jeep Compass,2023,3.0,42518.0,3.0,Não
Fiat Strada,2018,8.0,63818.0,4.0,Não
Jeep Grand Cherokee,2016,10.0,99999.0,10.0,Não
Jeep Compass,2023,3.0,28005.0,1.0,Não
RAM 2500,2014,12.0,141233.0,12.0,Sim
RAM 2500,2019,7.0,,8.0,Sim
Fiat Strada,2018,8.0,40331.0,6.0,Não
Jeep Compass,2025,,5833.0,2.0,Não
Jeep Renegade,2019,7.0,82335.0,2.0,Não
Jeep Compass,2024,2.0,23049.0,2.0,Não
Fiat Palio,2013,13.0,154357.0,9.0,Sim
Fiat Toro,2020,6.0,81667.0,3.0,Não
Fiat Toro,2025,1.0,10371.0,4.0,Não
Fiat Toro,2021,5.0,,4.0,Não
Jeep Grand Cherokee,2020,6.0,84623.0,5.0,Sim
Jeep Compass,2024,2.0,14821.0,1.0,Não
Jeep Grand Cherokee,2025,1.0,,2.0,Não
Fiat Grand Siena,2014,12.0,141903.0,8.0,Não
Fiat Strada,2021,5.0,48324.0,3.0,Não
Jeep Grand Cherokee,2025,1.0,13861.0,1.0,Não
Fiat Palio,2015,11.0,147020.0,9.0,Sim
Jeep Renegade,2021,5.0,67450.0,6.0,Não
Jeep Compass,2023,3.0,26760.0,5.0,Não
Jeep Grand Cherokee,2022,4.0,43040.0,1.0,Não
Fiat Strada,2017,9.0,117991.0,8.0,Não
Jeep Grand Cherokee,2024,2.0,23276.0,4.0,Sim
Jeep Renegade,2021,5.0,41631.0,2.0,Não
Jeep Renegade,2020,6.0,60518.0,5.0,Não
Fiat Grand Siena,2012,14.0,163346.0,11.0,Sim
RAM 2500,2015,11.0,165771.0,7.0,Sim
Fiat Strada,2020,6.0,76171.0,1.0,Não
Fiat Palio,2017,9.0,113631.0,8.0,Sim
Fiat Toro,2020,6.0,38986.0,3.0,Não
RAM 2500,2024,2.0,16866.0,5.0,Não
Fiat Toro,2021,5.0,47235.0,7.0,Não
Fiat Palio,2017,9.0,65977.0,8.0,Não
Jeep Renegade,2018,8.0,87573.0,4.0,Não
Fiat Strada,2023,3.0,36698.0,0.0,Não
Fiat Grand Siena,2018,8.0,93601.0,6.0,Sim
Fiat Strada,2020,6.0,97630.0,4.0,Não
Fiat Uno,2016,10.0,148937.0,8.0,Sim
Jeep Renegade,2024,2.0,28989.0,2.0,Não
Fiat Palio,2016,10.0,117286.0,3.0,Não
Fiat Uno,2011,15.0,152412.0,7.0,Não
Fiat Toro,2021,5.0,49713.0,5.0,Não
Fiat Uno,2011,15.0,,12.0,Sim
Fiat Toro,2019,7.0,57753.0,2.0,Não
Jeep Compass,2023,3.0,41066.0,1.0,Não
Fiat Toro,2025,1.0,13067.0,0.0,Não
Fiat Strada,2026,0.0,679.0,1.0,Não
Fiat Grand Siena,2017,9.0,95668.0,4.0,Sim
Fiat Uno,2014,,57058.0,7.0,Sim
Jeep Renegade,2024,2.0,,0.0,Não
Jeep Compass,2019,7.0,69932.0,7.0,Não
Jeep Grand Cherokee,2023,3.0,25009.0,1.0,Não
Fiat Toro,2026,0.0,2676.0,0.0,Sim
Jeep Renegade,2017,9.0,100046.0,7.0,Sim
Jeep Renegade,2023,,29825.0,1.0,Não
RAM 2500,2025,1.0,14709.0,2.0,Não
Jeep Renegade,2023,3.0,28056.0,1.0,Não
Jeep Grand Cherokee,2015,11.0,104514.0,8.0,Sim
Fiat Palio,2014,12.0,132747.0,12.0,Sim
Fiat Toro,2026,0.0,1678.0,0.0,Não
Fiat Toro,2024,2.0,16776.0,2.0,Não
Jeep Grand Cherokee,2024,2.0,,3.0,Sim
Fiat Palio,2011,15.0,183792.0,11.0,Não
Jeep Grand Cherokee,2016,10.0,94238.0,9.0,Sim
Fiat Strada,2015,11.0,146621.0,9.0,Sim
Jeep Compass,2021,5.0,61433.0,1.0,Não
Fiat Strada,2022,4.0,18735.0,1.0,Não
Fiat Grand Siena,2015,11.0,83289.0,8.0,Não
Jeep Compass,2017,,125739.0,7.0,Não
Jeep Grand Cherokee,2017,9.0,108108.0,6.0,Sim
Jeep Compass,2019,7.0,64966.0,5.0,Não
Fiat Toro,2016,10.0,113628.0,4.0,Não
Jeep Grand Cherokee,2018,8.0,52654.0,2.0,Não
Jeep Renegade,2024,2.0,22521.0,2.0,Não
Fiat Toro,2020,6.0,91097.0,5.0,Não
Jeep Compass,2022,4.0,51795.0,7.0,Não
Fiat Strada,2022,4.0,41911.0,,Não
Jeep Compass,2021,5.0,61587.0,6.0,Sim
Fiat Uno,2016,10.0,133874.0,3.0,Não
Jeep Compass,2017,9.0,75774.0,8.0,Não
Jeep Compass,2023,3.0,38070.0,3.0,Não
Jeep Renegade,2017,9.0,129083.0,7.0,Não
Fiat Grand Siena,2013,13.0,149463.0,19.0,Sim
Fiat Toro,2018,8.0,89602.0,6.0,Não
Jeep Compass,2024,2.0,27747.0,1.0,Não
